ParticipantID,Rating,Recommendations
3,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
6,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
10,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
13,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
17,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
20,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
24,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
27,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
31,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
34,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
38,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
41,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
45,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
48,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
52,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
56,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
59,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
62,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
66,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
69,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
73,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
77,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
80,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
83,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
87,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
91,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
94,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
97,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
104,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
107,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
111,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
114,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
118,1,"['Consider using public transit, biking, or walking more often.', 'Switch to renewable energy sources like solar or wind.', 'Reduce single-use plastic and switch to reusable materials.', 'Adopt composting or proper recycling methods.', 'Include more plant-based meals in your diet for lower carbon impact.', 'Reduce water usage through efficient fixtures and habits.', 'Use energy-efficient appliances and unplug unused devices.']"
